Location,Sex,Age,Total
S02000729,Male,"[0,17)",1119
S02000729,Female,"[17,70)",3216
S02000729,Male,"[17,70)",2969
S02000729,Female,"70+",414
S02000729,Male,"70+",383
S02000731,Female,"[0,17)",305
S02000731,Male,"[0,17)",283
S02000731,Female,"[17,70)",1292
S02000731,Male,"[17,70)",1193
S02000731,Female,"70+",269
S02000731,Male,"70+",249
S02000730,Female,"[0,17)",351
S02000730,Male,"[0,17)",325
S02000730,Female,"[17,70)",1447
S02000730,Male,"[17,70)",1336
S02000730,Female,"70+",585
S02000730,Male,"70+",541
S02000744,Female,"[0,17)",437
S02000744,Male,"[0,17)",405
S02000744,Female,"[17,70)",1161
S02000744,Male,"[17,70)",1072
S02000744,Female,"70+",201
S02000744,Male,"70+",187
S02000739,Female,"[0,17)",257
S02000739,Male,"[0,17)",239
S02000739,Female,"[17,70)",1413
S02000739,Male,"[17,70)",1305
S02000739,Female,"70+",423
S02000739,Male,"70+",392
S02000741,Female,"[0,17)",183
S02000741,Male,"[0,17)",170
S02000741,Female,"[17,70)",1057
S02000741,Male,"[17,70)",976
S02000741,Female,"70+",357
S02000741,Male,"70+",331
S02000740,Female,"[0,17)",293
S02000740,Male,"[0,17)",271
S02000740,Female,"[17,70)",1138
S02000740,Male,"[17,70)",1052
S02000740,Female,"70+",222
S02000740,Male,"70+",205
S02000728,Female,"[0,17)",553
S02000728,Male,"[0,17)",512
S02000728,Female,"[17,70)",2035
S02000728,Male,"[17,70)",1879
S02000728,Female,"70+",710
S02000728,Male,"70+",656
S02000737,Female,"[0,17)",646
S02000737,Male,"[0,17)",598
S02000737,Female,"[17,70)",2054
S02000737,Male,"[17,70)",1897
S02000737,Female,"70+",456
S02000737,Male,"70+",422
S02000072,Female,"[0,17)",438
S02000072,Male,"[0,17)",405
S02000072,Female,"[17,70)",1918
S02000072,Male,"[17,70)",1772
S02000072,Female,"70+",553
S02000072,Male,"70+",511
S02000071,Female,"[0,17)",414
S02000071,Male,"[0,17)",383
S02000071,Female,"[17,70)",1714
S02000071,Male,"[17,70)",1583
S02000071,Female,"70+",638
S02000071,Male,"70+",590
S02000837,Female,"[0,17)",269
S02000837,Male,"[0,17)",250
S02000837,Female,"[17,70)",757
S02000837,Male,"[17,70)",699
S02000837,Female,"70+",174
S02000837,Male,"70+",161
S02000836,Female,"[0,17)",347
S02000836,Male,"[0,17)",322
S02000836,Female,"[17,70)",953
S02000836,Male,"[17,70)",880
S02000836,Female,"70+",163
S02000836,Male,"70+",151
S02000845,Female,"[0,17)",412
S02000845,Male,"[0,17)",381
S02000845,Female,"[17,70)",1072
S02000845,Male,"[17,70)",990
S02000845,Female,"70+",319
S02000845,Male,"70+",295
S02000841,Female,"[0,17)",338
S02000841,Male,"[0,17)",312
S02000841,Female,"[17,70)",1063
S02000841,Male,"[17,70)",982
S02000841,Female,"70+",253
S02000841,Male,"70+",235
S02000838,Female,"[0,17)",245
S02000838,Male,"[0,17)",227
S02000838,Female,"[17,70)",1041
S02000838,Male,"[17,70)",962
S02000838,Female,"70+",408
S02000838,Male,"70+",377
S02000839,Female,"[0,17)",260
S02000839,Male,"[0,17)",241
S02000839,Female,"[17,70)",966
S02000839,Male,"[17,70)",892
S02000839,Female,"70+",332
S02000839,Male,"70+",307
S02000835,Female,"[0,17)",233
S02000835,Male,"[0,17)",216
S02000835,Female,"[17,70)",1020
S02000835,Male,"[17,70)",943
S02000835,Female,"70+",313
S02000835,Male,"70+",289
S02000840,Female,"[0,17)",331
S02000840,Male,"[0,17)",306
S02000840,Female,"[17,70)",1459
S02000840,Male,"[17,70)",1347
S02000840,Female,"70+",399
S02000840,Male,"70+",369
S02000843,Female,"[0,17)",373
S02000843,Male,"[0,17)",345
S02000843,Female,"[17,70)",1418
S02000843,Male,"[17,70)",1310
S02000843,Female,"70+",295
S02000843,Male,"70+",274
S02000833,Female,"[0,17)",222
S02000833,Male,"[0,17)",206
S02000833,Female,"[17,70)",938
S02000833,Male,"[17,70)",867
S02000833,Female,"70+",339
S02000833,Male,"70+",313
S02000947,Female,"[0,17)",301
S02000947,Male,"[0,17)",279
S02000947,Female,"[17,70)",1226
S02000947,Male,"[17,70)",1133
S02000947,Female,"70+",585
S02000947,Male,"70+",540
S02001027,Female,"[0,17)",327
S02001027,Male,"[0,17)",302
S02001027,Female,"[17,70)",1239
S02001027,Male,"[17,70)",1145
S02001027,Female,"70+",484
S02001027,Male,"70+",447
S02000368,Female,"[0,17)",353
S02000368,Male,"[0,17)",326
S02000368,Female,"[17,70)",1206
S02000368,Male,"[17,70)",1114
S02000368,Female,"70+",240
S02000368,Male,"70+",222
S02000998,Female,"[0,17)",276
S02000998,Male,"[0,17)",255
S02000998,Female,"[17,70)",1134
S02000998,Male,"[17,70)",1048
S02000998,Female,"70+",358
S02000998,Male,"70+",331
S02000994,Female,"[0,17)",312
S02000994,Male,"[0,17)",288
S02000994,Female,"[17,70)",1149
S02000994,Male,"[17,70)",1062
S02000994,Female,"70+",330
S02000994,Male,"70+",306
S02000992,Female,"[0,17)",365
S02000992,Male,"[0,17)",338
S02000992,Female,"[17,70)",1371
S02000992,Male,"[17,70)",1267
S02000992,Female,"70+",408
S02000992,Male,"70+",377
S02000988,Female,"[0,17)",589
S02000988,Male,"[0,17)",544
S02000988,Female,"[17,70)",1684
S02000988,Male,"[17,70)",1555
S02000988,Female,"70+",444
S02000988,Male,"70+",410
S02000386,Female,"[0,17)",472
S02000386,Male,"[0,17)",436
S02000386,Female,"[17,70)",1679
S02000386,Male,"[17,70)",1551
S02000386,Female,"70+",609
S02000386,Male,"70+",564
S02000811,Female,"[0,17)",409
S02000811,Male,"[0,17)",378
S02000811,Female,"[17,70)",1457
S02000811,Male,"[17,70)",1346
S02000811,Female,"70+",590
S02000811,Male,"70+",546
S02001034,Female,"[0,17)",286
S02001034,Male,"[0,17)",264
S02001034,Female,"[17,70)",1017
S02001034,Male,"[17,70)",939
S02001034,Female,"70+",467
S02001034,Male,"70+",432
S02001032,Female,"[0,17)",163
S02001032,Male,"[0,17)",151
S02001032,Female,"[17,70)",805
S02001032,Male,"[17,70)",744
S02001032,Female,"70+",426
S02001032,Male,"70+",394
S02000531,Female,"[0,17)",430
S02000531,Male,"[0,17)",397
S02000531,Female,"[17,70)",1425
S02000531,Male,"[17,70)",1317
S02000531,Female,"70+",404
S02000531,Male,"70+",373
S02000532,Female,"[0,17)",297
S02000532,Male,"[0,17)",276
S02000532,Female,"[17,70)",871
S02000532,Male,"[17,70)",805
S02000532,Female,"70+",234
S02000532,Male,"70+",217
S02000690,Female,"[0,17)",394
S02000690,Male,"[0,17)",365
S02000690,Female,"[17,70)",2275
S02000690,Male,"[17,70)",2100
S02000690,Female,"70+",498
S02000690,Male,"70+",461
S02000672,Female,"[0,17)",235
S02000672,Male,"[0,17)",218
S02000672,Female,"[17,70)",2444
S02000672,Male,"[17,70)",2257
S02000672,Female,"70+",202
S02000672,Male,"70+",187
S02000689,Female,"[0,17)",624
S02000689,Male,"[0,17)",576
S02000689,Female,"[17,70)",2337
S02000689,Male,"[17,70)",2158
S02000689,Female,"70+",577
S02000689,Male,"70+",534
S02000067,Female,"[0,17)",359
S02000067,Male,"[0,17)",332
S02000067,Female,"[17,70)",1198
S02000067,Male,"[17,70)",1107
S02000067,Female,"70+",331
S02000067,Male,"70+",307
S02000557,Female,"[0,17)",420
S02000557,Male,"[0,17)",389
S02000557,Female,"[17,70)",1444
S02000557,Male,"[17,70)",1334
S02000557,Female,"70+",417
S02000557,Male,"70+",385
S02000685,Female,"[0,17)",381
S02000685,Male,"[0,17)",352
S02000685,Female,"[17,70)",1638
S02000685,Male,"[17,70)",1513
S02000685,Female,"70+",301
S02000685,Male,"70+",278
S02000464,Female,"[0,17)",360
S02000464,Male,"[0,17)",333
S02000464,Female,"[17,70)",1426
S02000464,Male,"[17,70)",1318
S02000464,Female,"70+",421
S02000464,Male,"70+",389
S02000266,Female,"[0,17)",293
S02000266,Male,"[0,17)",271
S02000266,Female,"[17,70)",888
S02000266,Male,"[17,70)",820
S02000266,Female,"70+",317
S02000266,Male,"70+",293
S02000269,Female,"[0,17)",272
S02000269,Male,"[0,17)",252
S02000269,Female,"[17,70)",859
S02000269,Male,"[17,70)",794
S02000269,Female,"70+",527
S02000269,Male,"70+",488
S02000568,Female,"[0,17)",329
S02000568,Male,"[0,17)",305
S02000568,Female,"[17,70)",1294
S02000568,Male,"[17,70)",1195
S02000568,Female,"70+",477
S02000568,Male,"70+",441
S02000279,Female,"[0,17)",304
S02000279,Male,"[0,17)",282
S02000279,Female,"[17,70)",1137
S02000279,Male,"[17,70)",1050
S02000279,Female,"70+",624
S02000279,Male,"70+",576
S02000996,Female,"[0,17)",253
S02000996,Male,"[0,17)",234
S02000996,Female,"[17,70)",1068
S02000996,Male,"[17,70)",987
S02000996,Female,"70+",392
S02000996,Male,"70+",363
S02000865,Female,"[0,17)",329
S02000865,Male,"[0,17)",305
S02000865,Female,"[17,70)",1022
S02000865,Male,"[17,70)",944
S02000865,Female,"70+",291
S02000865,Male,"70+",270
S02000863,Female,"[0,17)",355
S02000863,Male,"[0,17)",328
S02000863,Female,"[17,70)",1360
S02000863,Male,"[17,70)",1256
S02000863,Female,"70+",403
S02000863,Male,"70+",372
S02000935,Female,"[0,17)",369
S02000935,Male,"[0,17)",341
S02000935,Female,"[17,70)",1338
S02000935,Male,"[17,70)",1236
S02000935,Female,"70+",341
S02000935,Male,"70+",315
S02000771,Female,"[0,17)",239
S02000771,Male,"[0,17)",221
S02000771,Female,"[17,70)",752
S02000771,Male,"[17,70)",696
S02000771,Female,"70+",339
S02000771,Male,"70+",314
S02000772,Female,"[0,17)",365
S02000772,Male,"[0,17)",337
S02000772,Female,"[17,70)",1226
S02000772,Male,"[17,70)",1132
S02000772,Female,"70+",397
S02000772,Male,"70+",368
S02000273,Female,"[0,17)",280
S02000273,Male,"[0,17)",259
S02000273,Female,"[17,70)",878
S02000273,Male,"[17,70)",811
S02000273,Female,"70+",383
S02000273,Male,"70+",355
S02000272,Female,"[0,17)",361
S02000272,Male,"[0,17)",334
S02000272,Female,"[17,70)",1078
S02000272,Male,"[17,70)",996
S02000272,Female,"70+",496
S02000272,Male,"70+",458
S02000243,Female,"[0,17)",185
S02000243,Male,"[0,17)",172
S02000243,Female,"[17,70)",1005
S02000243,Male,"[17,70)",929
S02000243,Female,"70+",345
S02000243,Male,"70+",320
S02000256,Female,"[0,17)",571
S02000256,Male,"[0,17)",528
S02000256,Female,"[17,70)",1895
S02000256,Male,"[17,70)",1750
S02000256,Female,"70+",399
S02000256,Male,"70+",370
S02000940,Female,"[0,17)",258
S02000940,Male,"[0,17)",239
S02000940,Female,"[17,70)",938
S02000940,Male,"[17,70)",866
S02000940,Female,"70+",263
S02000940,Male,"70+",244
S02000942,Female,"[0,17)",440
S02000942,Male,"[0,17)",407
S02000942,Female,"[17,70)",1643
S02000942,Male,"[17,70)",1518
S02000942,Female,"70+",556
S02000942,Male,"70+",515
S02000857,Female,"[0,17)",364
S02000857,Male,"[0,17)",336
S02000857,Female,"[17,70)",1256
S02000857,Male,"[17,70)",1160
S02000857,Female,"70+",424
S02000857,Male,"70+",393
S02000853,Female,"[0,17)",332
S02000853,Male,"[0,17)",308
S02000853,Female,"[17,70)",943
S02000853,Male,"[17,70)",872
S02000853,Female,"70+",214
S02000853,Male,"70+",198
S02000851,Female,"[0,17)",323
S02000851,Male,"[0,17)",299
S02000851,Female,"[17,70)",1305
S02000851,Male,"[17,70)",1206
S02000851,Female,"70+",435
S02000851,Male,"70+",402
S02000856,Female,"[0,17)",417
S02000856,Male,"[0,17)",385
S02000856,Female,"[17,70)",1496
S02000856,Male,"[17,70)",1381
S02000856,Female,"70+",369
S02000856,Male,"70+",341
S02000506,Female,"[0,17)",202
S02000506,Male,"[0,17)",188
S02000506,Female,"[17,70)",951
S02000506,Male,"[17,70)",878
S02000506,Female,"70+",362
S02000506,Male,"70+",336
S02000006,Female,"[0,17)",336
S02000006,Male,"[0,17)",312
S02000006,Female,"[17,70)",1419
S02000006,Male,"[17,70)",1310
S02000006,Female,"70+",450
S02000006,Male,"70+",416
S02000002,Female,"[0,17)",500
S02000002,Male,"[0,17)",462
S02000002,Female,"[17,70)",1787
S02000002,Male,"[17,70)",1651
S02000002,Female,"70+",416
S02000002,Male,"70+",384
S02000507,Female,"[0,17)",370
S02000507,Male,"[0,17)",343
S02000507,Female,"[17,70)",1267
S02000507,Male,"[17,70)",1171
S02000507,Female,"70+",462
S02000507,Male,"70+",428
S02000600,Female,"[0,17)",418
S02000600,Male,"[0,17)",387
S02000600,Female,"[17,70)",1522
S02000600,Male,"[17,70)",1406
S02000600,Female,"70+",322
S02000600,Male,"70+",298
S02000595,Female,"[0,17)",437
S02000595,Male,"[0,17)",405
S02000595,Female,"[17,70)",1503
S02000595,Male,"[17,70)",1388
S02000595,Female,"70+",278
S02000595,Male,"70+",257
S02000631,Female,"[0,17)",281
S02000631,Male,"[0,17)",261
S02000631,Female,"[17,70)",1284
S02000631,Male,"[17,70)",1186
S02000631,Female,"70+",328
S02000631,Male,"70+",303
S02000035,Female,"[0,17)",683
S02000035,Male,"[0,17)",632
S02000035,Female,"[17,70)",1978
S02000035,Male,"[17,70)",1826
S02000035,Female,"70+",351
S02000035,Male,"70+",325
S02000466,Female,"[0,17)",244
S02000466,Male,"[0,17)",226
S02000466,Female,"[17,70)",989
S02000466,Male,"[17,70)",913
S02000466,Female,"70+",349
S02000466,Male,"70+",323
S02000642,Female,"[0,17)",241
S02000642,Male,"[0,17)",224
S02000642,Female,"[17,70)",1535
S02000642,Male,"[17,70)",1418
S02000642,Female,"70+",226
S02000642,Male,"70+",209
S02000950,Female,"[0,17)",443
S02000950,Male,"[0,17)",409
S02000950,Female,"[17,70)",1537
S02000950,Male,"[17,70)",1420
S02000950,Female,"70+",566
S02000950,Male,"70+",523
S02000066,Female,"[0,17)",1152
S02000066,Male,"[0,17)",1065
S02000066,Female,"[17,70)",3050
S02000066,Male,"[17,70)",2817
S02000066,Female,"70+",575
S02000066,Male,"70+",532
S02000131,Female,"[0,17)",377
S02000131,Male,"[0,17)",349
S02000131,Female,"[17,70)",1631
S02000131,Male,"[17,70)",1507
S02000131,Female,"70+",736
S02000131,Male,"70+",680
S02000518,Female,"[0,17)",190
S02000518,Male,"[0,17)",176
S02000518,Female,"[17,70)",1031
S02000518,Male,"[17,70)",953
S02000518,Female,"70+",326
S02000518,Male,"70+",302
S02000520,Female,"[0,17)",274
S02000520,Male,"[0,17)",253
S02000520,Female,"[17,70)",902
S02000520,Male,"[17,70)",834
S02000520,Female,"70+",359
S02000520,Male,"70+",333
S02000516,Female,"[0,17)",216
S02000516,Male,"[0,17)",201
S02000516,Female,"[17,70)",1079
S02000516,Male,"[17,70)",996
S02000516,Female,"70+",373
S02000516,Male,"70+",346
S02000535,Female,"[0,17)",579
S02000535,Male,"[0,17)",535
S02000535,Female,"[17,70)",1652
S02000535,Male,"[17,70)",1526
S02000535,Female,"70+",416
S02000535,Male,"70+",384
S02000533,Female,"[0,17)",260
S02000533,Male,"[0,17)",241
S02000533,Female,"[17,70)",1025
S02000533,Male,"[17,70)",948
S02000533,Female,"70+",421
S02000533,Male,"70+",389
S02000530,Female,"[0,17)",371
S02000530,Male,"[0,17)",344
S02000530,Female,"[17,70)",1211
S02000530,Male,"[17,70)",1118
S02000530,Female,"70+",392
S02000530,Male,"70+",363
S02000524,Female,"[0,17)",440
S02000524,Male,"[0,17)",407
S02000524,Female,"[17,70)",1155
S02000524,Male,"[17,70)",1067
S02000524,Female,"70+",264
S02000524,Male,"70+",244
S02000512,Female,"[0,17)",332
S02000512,Male,"[0,17)",308
S02000512,Female,"[17,70)",1156
S02000512,Male,"[17,70)",1068
S02000512,Female,"70+",287
S02000512,Male,"70+",266
S02000523,Female,"[0,17)",257
S02000523,Male,"[0,17)",238
S02000523,Female,"[17,70)",967
S02000523,Male,"[17,70)",894
S02000523,Female,"70+",380
S02000523,Male,"70+",352
S02000522,Female,"[0,17)",174
S02000522,Male,"[0,17)",162
S02000522,Female,"[17,70)",943
S02000522,Male,"[17,70)",872
S02000522,Female,"70+",394
S02000522,Male,"70+",364
S02000517,Female,"[0,17)",207
S02000517,Male,"[0,17)",192
S02000517,Female,"[17,70)",811
S02000517,Male,"[17,70)",749
S02000517,Female,"70+",274
S02000517,Male,"70+",254
S02000526,Female,"[0,17)",661
S02000526,Male,"[0,17)",612
S02000526,Female,"[17,70)",1694
S02000526,Male,"[17,70)",1565
S02000526,Female,"70+",344
S02000526,Male,"70+",318
S02000527,Female,"[0,17)",285
S02000527,Male,"[0,17)",264
S02000527,Female,"[17,70)",947
S02000527,Male,"[17,70)",876
S02000527,Female,"70+",306
S02000527,Male,"70+",283
S02000166,Female,"[0,17)",389
S02000166,Male,"[0,17)",360
S02000166,Female,"[17,70)",1582
S02000166,Male,"[17,70)",1462
S02000166,Female,"70+",781
S02000166,Male,"70+",721
S02001231,Female,"[0,17)",597
S02001231,Male,"[0,17)",552
S02001231,Female,"[17,70)",1851
S02001231,Male,"[17,70)",1710
S02001231,Female,"70+",430
S02001231,Male,"70+",398
S02000275,Female,"[0,17)",270
S02000275,Male,"[0,17)",250
S02000275,Female,"[17,70)",1128
S02000275,Male,"[17,70)",1042
S02000275,Female,"70+",293
S02000275,Male,"70+",271
S02000281,Female,"[0,17)",354
S02000281,Male,"[0,17)",328
S02000281,Female,"[17,70)",1348
S02000281,Male,"[17,70)",1245
S02000281,Female,"70+",492
S02000281,Male,"70+",456
S02000391,Female,"[0,17)",624
S02000391,Male,"[0,17)",577
S02000391,Female,"[17,70)",1738
S02000391,Male,"[17,70)",1605
S02000391,Female,"70+",413
S02000391,Male,"70+",383
S02000165,Female,"[0,17)",263
S02000165,Male,"[0,17)",243
S02000165,Female,"[17,70)",1036
S02000165,Male,"[17,70)",958
S02000165,Female,"70+",467
S02000165,Male,"70+",432
S02001088,Female,"[0,17)",299
S02001088,Male,"[0,17)",276
S02001088,Female,"[17,70)",1133
S02001088,Male,"[17,70)",1046
S02001088,Female,"70+",338
S02001088,Male,"70+",313
S02000905,Female,"[0,17)",654
S02000905,Male,"[0,17)",605
S02000905,Female,"[17,70)",2084
S02000905,Male,"[17,70)",1924
S02000905,Female,"70+",412
S02000905,Male,"70+",382
S02000228,Female,"[0,17)",478
S02000228,Male,"[0,17)",442
S02000228,Female,"[17,70)",1310
S02000228,Male,"[17,70)",1210
S02000228,Female,"70+",320
S02000228,Male,"70+",297
S02001210,Female,"[0,17)",399
S02001210,Male,"[0,17)",369
S02001210,Female,"[17,70)",1303
S02001210,Male,"[17,70)",1203
S02001210,Female,"70+",349
S02001210,Male,"70+",323
S02000907,Female,"[0,17)",526
S02000907,Male,"[0,17)",487
S02000907,Female,"[17,70)",1801
S02000907,Male,"[17,70)",1663
S02000907,Female,"70+",441
S02000907,Male,"70+",408
S02000123,Female,"[0,17)",524
S02000123,Male,"[0,17)",485
S02000123,Female,"[17,70)",1890
S02000123,Male,"[17,70)",1746
S02000123,Female,"70+",766
S02000123,Male,"70+",708
S02000117,Female,"[0,17)",206
S02000117,Male,"[0,17)",192
S02000117,Female,"[17,70)",913
S02000117,Male,"[17,70)",843
S02000117,Female,"70+",326
S02000117,Male,"70+",302
S02001223,Female,"[0,17)",683
S02001223,Male,"[0,17)",631
S02001223,Female,"[17,70)",1887
S02001223,Male,"[17,70)",1742
S02001223,Female,"70+",340
S02001223,Male,"70+",314
S02000699,Female,"[0,17)",335
S02000699,Male,"[0,17)",310
S02000699,Female,"[17,70)",1339
S02000699,Male,"[17,70)",1237
S02000699,Female,"70+",430
S02000699,Male,"70+",398
S02000698,Female,"[0,17)",348
S02000698,Male,"[0,17)",323
S02000698,Female,"[17,70)",1193
S02000698,Male,"[17,70)",1103
S02000698,Female,"70+",288
S02000698,Male,"70+",266
S02000706,Female,"[0,17)",255
S02000706,Male,"[0,17)",236
S02000706,Female,"[17,70)",1082
S02000706,Male,"[17,70)",1000
S02000706,Female,"70+",420
S02000706,Male,"70+",389
S02000703,Female,"[0,17)",247
S02000703,Male,"[0,17)",228
S02000703,Female,"[17,70)",913
S02000703,Male,"[17,70)",844
S02000703,Female,"70+",235
S02000703,Male,"70+",217
S02000879,Female,"[0,17)",325
S02000879,Male,"[0,17)",301
S02000879,Female,"[17,70)",1356
S02000879,Male,"[17,70)",1252
S02000879,Female,"70+",477
S02000879,Male,"70+",441
S02001216,Female,"[0,17)",752
S02001216,Male,"[0,17)",696
S02001216,Female,"[17,70)",2363
S02001216,Male,"[17,70)",2182
S02001216,Female,"70+",380
S02001216,Male,"70+",351
S02001129,Female,"[0,17)",313
S02001129,Male,"[0,17)",290
S02001129,Female,"[17,70)",1257
S02001129,Male,"[17,70)",1161
S02001129,Female,"70+",379
S02001129,Male,"70+",351
S02001091,Female,"[0,17)",187
S02001091,Male,"[0,17)",173
S02001091,Female,"[17,70)",762
S02001091,Male,"[17,70)",705
S02001091,Female,"70+",260
S02001091,Male,"70+",241
S02001090,Female,"[0,17)",186
S02001090,Male,"[0,17)",173
S02001090,Female,"[17,70)",812
S02001090,Male,"[17,70)",750
S02001090,Female,"70+",364
S02001090,Male,"70+",337
S02001086,Female,"[0,17)",338
S02001086,Male,"[0,17)",312
S02001086,Female,"[17,70)",1223
S02001086,Male,"[17,70)",1130
S02001086,Female,"70+",372
S02001086,Male,"70+",345
S02000195,Female,"[0,17)",258
S02000195,Male,"[0,17)",240
S02000195,Female,"[17,70)",1098
S02000195,Male,"[17,70)",1015
S02000195,Female,"70+",500
S02000195,Male,"70+",462
S02001036,Female,"[0,17)",287
S02001036,Male,"[0,17)",265
S02001036,Female,"[17,70)",886
S02001036,Male,"[17,70)",818
S02001036,Female,"70+",217
S02001036,Male,"70+",202
S02000604,Female,"[0,17)",251
S02000604,Male,"[0,17)",233
S02000604,Female,"[17,70)",1709
S02000604,Male,"[17,70)",1578
S02000604,Female,"70+",258
S02000604,Male,"70+",240
S02000471,Female,"[0,17)",378
S02000471,Male,"[0,17)",349
S02000471,Female,"[17,70)",1219
S02000471,Male,"[17,70)",1127
S02000471,Female,"70+",412
S02000471,Male,"70+",381
S02000563,Female,"[0,17)",181
S02000563,Male,"[0,17)",168
S02000563,Female,"[17,70)",831
S02000563,Male,"[17,70)",768
S02000563,Female,"70+",441
S02000563,Male,"70+",408
S02000866,Female,"[0,17)",363
S02000866,Male,"[0,17)",336
S02000866,Female,"[17,70)",1571
S02000866,Male,"[17,70)",1451
S02000866,Female,"70+",690
S02000866,Male,"70+",638
S02000869,Female,"[0,17)",246
S02000869,Male,"[0,17)",228
S02000869,Female,"[17,70)",948
S02000869,Male,"[17,70)",876
S02000869,Female,"70+",738
S02000869,Male,"70+",682
S02000868,Female,"[0,17)",230
S02000868,Male,"[0,17)",213
S02000868,Female,"[17,70)",979
S02000868,Male,"[17,70)",905
S02000868,Female,"70+",694
S02000868,Male,"70+",642
S02001102,Female,"[0,17)",293
S02001102,Male,"[0,17)",272
S02001102,Female,"[17,70)",1249
S02001102,Male,"[17,70)",1154
S02001102,Female,"70+",451
S02001102,Male,"70+",418
S02000634,Female,"[0,17)",248
S02000634,Male,"[0,17)",229
S02000634,Female,"[17,70)",1908
S02000634,Male,"[17,70)",1763
S02000634,Female,"70+",190
S02000634,Male,"70+",177
S02000450,Female,"[0,17)",268
S02000450,Male,"[0,17)",248
S02000450,Female,"[17,70)",1048
S02000450,Male,"[17,70)",969
S02000450,Female,"70+",336
S02000450,Male,"70+",311
S02000209,Female,"[0,17)",276
S02000209,Male,"[0,17)",256
S02000209,Female,"[17,70)",1312
S02000209,Male,"[17,70)",1212
S02000209,Female,"70+",550
S02000209,Male,"70+",508
S02001107,Female,"[0,17)",396
S02001107,Male,"[0,17)",367
S02001107,Female,"[17,70)",1298
S02001107,Male,"[17,70)",1200
S02001107,Female,"70+",299
S02001107,Male,"70+",277
S02000426,Female,"[0,17)",587
S02000426,Male,"[0,17)",543
S02000426,Female,"[17,70)",3729
S02000426,Male,"[17,70)",3443
S02000426,Female,"70+",274
S02000426,Male,"70+",254
S02000287,Female,"[0,17)",431
S02000287,Male,"[0,17)",399
S02000287,Female,"[17,70)",1623
S02000287,Male,"[17,70)",1500
S02000287,Female,"70+",390
S02000287,Male,"70+",360
S02000270,Female,"[0,17)",513
S02000270,Male,"[0,17)",475
S02000270,Female,"[17,70)",2000
S02000270,Male,"[17,70)",1848
S02000270,Female,"70+",631
S02000270,Male,"70+",584
S02000267,Female,"[0,17)",289
S02000267,Male,"[0,17)",267
S02000267,Female,"[17,70)",1072
S02000267,Male,"[17,70)",991
S02000267,Female,"70+",367
S02000267,Male,"70+",340
S02001052,Female,"[0,17)",256
S02001052,Male,"[0,17)",238
S02001052,Female,"[17,70)",1194
S02001052,Male,"[17,70)",1103
S02001052,Female,"70+",382
S02001052,Male,"70+",353
S02001051,Female,"[0,17)",473
S02001051,Male,"[0,17)",438
S02001051,Female,"[17,70)",1486
S02001051,Male,"[17,70)",1372
S02001051,Female,"70+",409
S02001051,Male,"70+",378
S02000551,Female,"[0,17)",293
S02000551,Male,"[0,17)",271
S02000551,Female,"[17,70)",1159
S02000551,Male,"[17,70)",1070
S02000551,Female,"70+",399
S02000551,Male,"70+",369
S02001084,Female,"[0,17)",375
S02001084,Male,"[0,17)",348
S02001084,Female,"[17,70)",1183
S02001084,Male,"[17,70)",1093
S02001084,Female,"70+",361
S02001084,Male,"70+",335
S02000965,Female,"[0,17)",628
S02000965,Male,"[0,17)",581
S02000965,Female,"[17,70)",1870
S02000965,Male,"[17,70)",1727
S02000965,Female,"70+",463
S02000965,Male,"70+",429
S02000116,Female,"[0,17)",427
S02000116,Male,"[0,17)",395
S02000116,Female,"[17,70)",1752
S02000116,Male,"[17,70)",1618
S02000116,Female,"70+",684
S02000116,Male,"70+",632
S02000580,Female,"[0,17)",403
S02000580,Male,"[0,17)",373
S02000580,Female,"[17,70)",1301
S02000580,Male,"[17,70)",1202
S02000580,Female,"70+",187
S02000580,Male,"70+",173
S02000566,Female,"[0,17)",236
S02000566,Male,"[0,17)",218
S02000566,Female,"[17,70)",1109
S02000566,Male,"[17,70)",1025
S02000566,Female,"70+",469
S02000566,Male,"70+",433
S02000555,Female,"[0,17)",252
S02000555,Male,"[0,17)",233
S02000555,Female,"[17,70)",941
S02000555,Male,"[17,70)",870
S02000555,Female,"70+",359
S02000555,Male,"70+",333
S02000552,Female,"[0,17)",243
S02000552,Male,"[0,17)",225
S02000552,Female,"[17,70)",898
S02000552,Male,"[17,70)",830
S02000552,Female,"70+",329
S02000552,Male,"70+",305
S02000826,Female,"[0,17)",291
S02000826,Male,"[0,17)",269
S02000826,Female,"[17,70)",1067
S02000826,Male,"[17,70)",986
S02000826,Female,"70+",316
S02000826,Male,"70+",292
S02000342,Female,"[0,17)",264
S02000342,Male,"[0,17)",245
S02000342,Female,"[17,70)",1137
S02000342,Male,"[17,70)",1050
S02000342,Female,"70+",309
S02000342,Male,"70+",286
S02000346,Female,"[0,17)",206
S02000346,Male,"[0,17)",192
S02000346,Female,"[17,70)",880
S02000346,Male,"[17,70)",813
S02000346,Female,"70+",477
S02000346,Male,"70+",442
S02000187,Female,"[0,17)",472
S02000187,Male,"[0,17)",437
S02000187,Female,"[17,70)",1362
S02000187,Male,"[17,70)",1258
S02000187,Female,"70+",342
S02000187,Male,"70+",317
S02000221,Female,"[0,17)",695
S02000221,Male,"[0,17)",643
S02000221,Female,"[17,70)",1788
S02000221,Male,"[17,70)",1651
S02000221,Female,"70+",334
S02000221,Male,"70+",310
S02001235,Female,"[0,17)",443
S02001235,Male,"[0,17)",410
S02001235,Female,"[17,70)",1435
