Location,Sex,Age,Total
S02000721,Male,"[0,17)",285
S02000721,Female,"[17,70)",1211
S02000721,Male,"[17,70)",1118
S02000721,Female,"70+",472
S02000721,Male,"70+",437
S02000618,Female,"[0,17)",523
S02000618,Male,"[0,17)",483
S02000618,Female,"[17,70)",2016
S02000618,Male,"[17,70)",1862
S02000618,Female,"70+",427
S02000618,Male,"70+",396
S02000626,Female,"[0,17)",286
S02000626,Male,"[0,17)",265
S02000626,Female,"[17,70)",1230
S02000626,Male,"[17,70)",1136
S02000626,Female,"70+",446
S02000626,Male,"70+",412
S02000470,Female,"[0,17)",398
S02000470,Male,"[0,17)",369
S02000470,Female,"[17,70)",1298
S02000470,Male,"[17,70)",1199
S02000470,Female,"70+",275
S02000470,Male,"70+",255
S02000330,Female,"[0,17)",567
S02000330,Male,"[0,17)",524
S02000330,Female,"[17,70)",1768
S02000330,Male,"[17,70)",1633
S02000330,Female,"70+",679
S02000330,Male,"70+",627
S02000204,Female,"[0,17)",230
S02000204,Male,"[0,17)",213
S02000204,Female,"[17,70)",1133
S02000204,Male,"[17,70)",1046
S02000204,Female,"70+",468
S02000204,Male,"70+",433
S02000042,Female,"[0,17)",189
S02000042,Male,"[0,17)",176
S02000042,Female,"[17,70)",966
S02000042,Male,"[17,70)",892
S02000042,Female,"70+",322
S02000042,Male,"70+",298
S02000041,Female,"[0,17)",252
S02000041,Male,"[0,17)",234
S02000041,Female,"[17,70)",1219
S02000041,Male,"[17,70)",1127
S02000041,Female,"70+",429
S02000041,Male,"70+",396
S02000380,Female,"[0,17)",283
S02000380,Male,"[0,17)",263
S02000380,Female,"[17,70)",1462
S02000380,Male,"[17,70)",1351
S02000380,Female,"70+",497
S02000380,Male,"70+",459
S02000538,Female,"[0,17)",328
S02000538,Male,"[0,17)",303
S02000538,Female,"[17,70)",939
S02000538,Male,"[17,70)",867
S02000538,Female,"70+",221
S02000538,Male,"70+",204
S02000933,Female,"[0,17)",232
S02000933,Male,"[0,17)",216
S02000933,Female,"[17,70)",985
S02000933,Male,"[17,70)",911
S02000933,Female,"70+",254
S02000933,Male,"70+",236
S02000936,Female,"[0,17)",364
S02000936,Male,"[0,17)",336
S02000936,Female,"[17,70)",1247
S02000936,Male,"[17,70)",1152
S02000936,Female,"70+",261
S02000936,Male,"70+",241
S02000941,Female,"[0,17)",401
S02000941,Male,"[0,17)",371
S02000941,Female,"[17,70)",1379
S02000941,Male,"[17,70)",1273
S02000941,Female,"70+",415
S02000941,Male,"70+",384
S02000069,Female,"[0,17)",569
S02000069,Male,"[0,17)",527
S02000069,Female,"[17,70)",1810
S02000069,Male,"[17,70)",1671
S02000069,Female,"70+",343
S02000069,Male,"70+",318
S02000581,Female,"[0,17)",295
S02000581,Male,"[0,17)",274
S02000581,Female,"[17,70)",1188
S02000581,Male,"[17,70)",1098
S02000581,Female,"70+",484
S02000581,Male,"70+",447
S02000697,Female,"[0,17)",294
S02000697,Male,"[0,17)",273
S02000697,Female,"[17,70)",1162
S02000697,Male,"[17,70)",1074
S02000697,Female,"70+",353
S02000697,Male,"70+",326
S02000057,Female,"[0,17)",624
S02000057,Male,"[0,17)",576
S02000057,Female,"[17,70)",2102
S02000057,Male,"[17,70)",1941
S02000057,Female,"70+",712
S02000057,Male,"70+",658
S02000059,Female,"[0,17)",704
S02000059,Male,"[0,17)",650
S02000059,Female,"[17,70)",2006
S02000059,Male,"[17,70)",1852
S02000059,Female,"70+",279
S02000059,Male,"70+",258
S02000099,Female,"[0,17)",371
S02000099,Male,"[0,17)",343
S02000099,Female,"[17,70)",1265
S02000099,Male,"[17,70)",1169
S02000099,Female,"70+",440
S02000099,Male,"70+",408
S02001158,Female,"[0,17)",250
S02001158,Male,"[0,17)",232
S02001158,Female,"[17,70)",1086
S02001158,Male,"[17,70)",1003
S02001158,Female,"70+",293
S02001158,Male,"70+",272
S02000445,Female,"[0,17)",339
S02000445,Male,"[0,17)",313
S02000445,Female,"[17,70)",1236
S02000445,Male,"[17,70)",1142
S02000445,Female,"70+",357
S02000445,Male,"70+",330
S02001165,Female,"[0,17)",479
S02001165,Male,"[0,17)",444
S02001165,Female,"[17,70)",1801
S02001165,Male,"[17,70)",1664
S02001165,Female,"70+",458
S02001165,Male,"70+",424
S02000453,Female,"[0,17)",316
S02000453,Male,"[0,17)",293
S02000453,Female,"[17,70)",1150
S02000453,Male,"[17,70)",1062
S02000453,Female,"70+",421
S02000453,Male,"70+",390
S02001079,Female,"[0,17)",325
S02001079,Male,"[0,17)",301
S02001079,Female,"[17,70)",1256
S02001079,Male,"[17,70)",1160
S02001079,Female,"70+",517
S02001079,Male,"70+",478
S02000646,Female,"[0,17)",528
S02000646,Male,"[0,17)",488
S02000646,Female,"[17,70)",1629
S02000646,Male,"[17,70)",1505
S02000646,Female,"70+",268
S02000646,Male,"70+",249
S02000282,Female,"[0,17)",305
S02000282,Male,"[0,17)",282
S02000282,Female,"[17,70)",950
S02000282,Male,"[17,70)",878
S02000282,Female,"70+",460
S02000282,Male,"70+",425
S02000687,Female,"[0,17)",351
S02000687,Male,"[0,17)",325
S02000687,Female,"[17,70)",1055
S02000687,Male,"[17,70)",974
S02000687,Female,"70+",275
S02000687,Male,"70+",255
S02000212,Female,"[0,17)",376
S02000212,Male,"[0,17)",348
S02000212,Female,"[17,70)",1568
S02000212,Male,"[17,70)",1448
S02000212,Female,"70+",796
S02000212,Male,"70+",736
S02000413,Female,"[0,17)",300
S02000413,Male,"[0,17)",277
S02000413,Female,"[17,70)",923
S02000413,Male,"[17,70)",853
S02000413,Female,"70+",506
S02000413,Male,"70+",468
S02000431,Female,"[0,17)",286
S02000431,Male,"[0,17)",265
S02000431,Female,"[17,70)",927
S02000431,Male,"[17,70)",857
S02000431,Female,"70+",361
S02000431,Male,"70+",334
S02000074,Female,"[0,17)",588
S02000074,Male,"[0,17)",543
S02000074,Female,"[17,70)",1753
S02000074,Male,"[17,70)",1620
S02000074,Female,"70+",358
S02000074,Male,"70+",331
S02001225,Female,"[0,17)",568
S02001225,Male,"[0,17)",525
S02001225,Female,"[17,70)",2286
S02001225,Male,"[17,70)",2111
S02001225,Female,"70+",599
S02001225,Male,"70+",553
S02001219,Female,"[0,17)",507
S02001219,Male,"[0,17)",469
S02001219,Female,"[17,70)",1859
S02001219,Male,"[17,70)",1716
S02001219,Female,"70+",423
S02001219,Male,"70+",391
S02000607,Female,"[0,17)",361
S02000607,Male,"[0,17)",335
S02000607,Female,"[17,70)",2014
S02000607,Male,"[17,70)",1860
S02000607,Female,"70+",326
S02000607,Male,"70+",301
S02000215,Female,"[0,17)",272
S02000215,Male,"[0,17)",252
S02000215,Female,"[17,70)",1118
S02000215,Male,"[17,70)",1032
S02000215,Female,"70+",341
S02000215,Male,"70+",316
S02000862,Female,"[0,17)",316
S02000862,Male,"[0,17)",292
S02000862,Female,"[17,70)",1280
S02000862,Male,"[17,70)",1183
S02000862,Female,"70+",468
S02000862,Male,"70+",433
S02000864,Female,"[0,17)",282
S02000864,Male,"[0,17)",261
S02000864,Female,"[17,70)",1045
S02000864,Male,"[17,70)",965
S02000864,Female,"70+",270
S02000864,Male,"70+",250
S02000241,Female,"[0,17)",373
S02000241,Male,"[0,17)",345
S02000241,Female,"[17,70)",1410
S02000241,Male,"[17,70)",1303
S02000241,Female,"70+",430
S02000241,Male,"70+",398
S02000898,Female,"[0,17)",393
S02000898,Male,"[0,17)",364
S02000898,Female,"[17,70)",1452
S02000898,Male,"[17,70)",1341
S02000898,Female,"70+",314
S02000898,Male,"70+",290
S02000892,Female,"[0,17)",363
S02000892,Male,"[0,17)",336
S02000892,Female,"[17,70)",1362
